,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_32,2350492138,235288459002,"(0.6334511041641235, 0.4231526851654053)","(25.17803382873535, 72.037109375, 15.577593803405762)",1,6.168060302734375,1,"(-55.92528533935547, -5.423759937286377, 539.8568115234375)","(0.6434615850448608, 0.5120559930801392, 0.216659277677536)",1,"(0.6431331634521484, 0.4886414706707001)","(27.00472068786621, 64.78052520751953, 12.936412811279297)",1,5.4092864990234375,1,"(4.2704267501831055, -7.111741065979004, 528.8496704101562)","(0.48899927735328674, 0.5156087279319763, 0.18653856217861176)",1,not_attentive
timestep_33,2351292173,235289258936,"(0.5860096216201782, 0.3829604983329773)","(16.227306365966797, 76.49066162109375, 17.198562622070312)",1,6.22222900390625,1,"(-55.84095764160156, -5.851346015930176, 539.6912231445312)","(0.6432945132255554, 0.513115644454956, 0.21627436578273773)",1,"(0.6250232458114624, 0.426560640335083)","(23.58795928955078, 71.65948486328125, 15.440169334411621)",1,5.4780426025390625,1,"(4.360039710998535, -7.621644020080566, 528.633056640625)","(0.48875415325164795, 0.516899049282074, 0.18606261909008026)",1,not_attentive
timestep_34,2352108876,235290075729,"(0.33377811312675476, 0.32570382952690125)","(-31.36084747314453, 82.8350830078125, 19.50774383544922)",1,6.164947509765625,1,"(-57.255348205566406, -5.542440414428711, 538.846435546875)","(0.6471723914146423, 0.5123391151428223, 0.21477024257183075)",1,"(0.34214848279953003, 0.35549396276474)","(-29.781614303588867, 79.53412628173828, 18.306316375732422)",1,5.5412139892578125,1,"(2.844999074935913, -7.359739303588867, 527.8680419921875)","(0.4927275776863098, 0.5162342190742493, 0.18438071012496948)",1,not_attentive
timestep_35,2352908908,235290875712,"(-0.3616497814655304, 0.5217838287353516)","(-162.5662078857422, 61.10814666748047, 11.599749565124512)",1,5.78350830078125,1,"(-58.88859176635742, -5.998557090759277, 540.4066162109375)","(0.6508418321609497, 0.5135201215744019, 0.21850931644439697)",1,"(-0.34174397587776184, 0.5678848028182983)","(-158.8106231689453, 55.999847412109375, 9.740513801574707)",1,5.2553558349609375,1,"(1.3602707386016846, -7.97365665435791, 530.17724609375)","(0.4966510534286499, 0.5178359150886536, 0.1893806755542755)",1,not_attentive
timestep_36,2353725610,235291692453,"(-0.37248268723487854, 0.533638060092926)","(-164.61004638671875, 59.794612884521484, 11.121670722961426)",1,5.600250244140625,1,"(-57.80402374267578, -6.209562301635742, 538.9940185546875)","(0.6485245823860168, 0.5140089392662048, 0.21520186960697174)",1,"(-0.2563740909099579, 0.5823631286621094)","(-142.70401000976562, 54.395545959472656, 9.156604766845703)",1,5.1563262939453125,1,"(2.539438247680664, -8.500361442565918, 528.5902099609375)","(0.4935336709022522, 0.5191441774368286, 0.1859351098537445)",1,not_attentive
timestep_37,2354525652,235292492451,"(-0.36099809408187866, 0.5362009406089783)","(-162.44326782226562, 59.510623931884766, 11.018342971801758)",1,5.6616058349609375,1,"(-58.41538619995117, -6.029836177825928, 541.4793701171875)","(0.6492946147918701, 0.513615608215332, 0.22071784734725952)",1,"(-0.20353098213672638, 0.5983812212944031)","(-132.7341766357422, 52.620643615722656, 8.510589599609375)",1,5.294647216796875,1,"(2.252671718597412, -8.30624771118164, 527.4537353515625)","(0.4942746162414551, 0.5186409950256348, 0.183463454246521)",1,not_attentive
timestep_38,2355342353,235293309293,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.7747688889503479, 1.1187973022460938)","(51.840240478515625, -5.044868469238281, -12.47791576385498)",1,5.22296142578125,1,"(5.031022548675537, -9.534584045410156, 527.27587890625)","(0.4869346618652344, 0.5217437148094177, 0.183109849691391)",1,not_attentive
timestep_39,2356159055,235294125706,"(0.5783586502075195, 0.13993112742900848)","(14.7838134765625, 103.41990661621094, 27.000001907348633)",1,5.9706573486328125,1,"(-54.99031448364258, -5.608565807342529, 537.7598266601562)","(0.6417086720466614, 0.5124621987342834, 0.21191498637199402)",1,"(0.5962870717048645, 0.12694337964057922)","(18.166332244873047, 104.8590316772461, 27.523805618286133)",1,5.2965240478515625,1,"(5.241739749908447, -8.058210372924805, 527.094970703125)","(0.4863855540752411, 0.5179817080497742, 0.18273156881332397)",1,not_attentive
timestep_40,2356959092,235294925854,"(0.31293928623199463, 0.9061493277549744)","(-35.29247283935547, 18.5179386138916, -3.9018266201019287)",1,5.80035400390625,1,"(-54.83745574951172, -7.217555522918701, 537.7223510742188)","(0.6413185596466064, 0.5164788365364075, 0.21177421510219574)",1,"(0.29575246572494507, 0.9854795932769775)","(-38.53508758544922, 9.727611541748047, -7.101193428039551)",1,5.401123046875,1,"(4.684832572937012, -9.64520263671875, 527.07177734375)","(0.48784130811691284, 0.5220270156860352, 0.182658851146698)",1,not_attentive
timestep_41,2357775787,235295742577,"(0.423086017370224, 0.19356514513492584)","(-14.511260032653809, 97.4769058227539, 24.836931228637695)",1,6.24163818359375,1,"(-54.7042236328125, -2.9219624996185303, 540.793212890625)","(0.6400795578956604, 0.5058550238609314, 0.21848064661026)",1,"(0.4396541118621826, 0.22049899399280548)","(-11.385367393493652, 94.49246978759766, 23.75065803527832)",1,5.5889434814453125,1,"(5.317582130432129, -5.987893104553223, 529.4043579101562)","(0.48627325892448425, 0.5127602815628052, 0.187782883644104)",1,not_attentive
